C:\Users\adambyrn\source\repos\lighterFluid\lighterFluid\outputs\module.mtpl
Test Name, Template,BisrMode,bypass_global,BypassPort,ConfigurationFile,CtvCapturePins,CtvPins,descriptor_console,descriptor_ituff,descriptor_operation,descriptor_results,EnableRepair,EndVoltageLimits,Expression,FailCaptureCount,FailuresToCapturePerPattern,FailuresToCaptureTotal,FeatureSwitchSettings,function_name,function_parameter,fuse_module,LevelsTc,LookupTableConfigurationFile,MappingConfig,MaxFailuresPerPatternToItuff,MaxFailuresToItuff,MaxRepetitionCount,MbistTestMode,Patlist,PatternNameMap,RasterInputFile,ResultToken,ScoreboardBaseNumber,ScoreboardEdgeTicks,SetPoint,StartVoltages,StepSize,TestMode,TimingsTc,VoltageStepConfigFile,VoltageTargets,xml_config_file_path
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC3RF1R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC3RF1R_CORE0.vfdm.xml""",
LSA_CORE_UF_E_BEGIN_TITO_VCCIA_NOM_LFM_VFDM_UF,iCUserFuncTest,,"""1""",,,,,,,,,,,,,,,,"""VFDM_UF!ProcessVFDMOutputs""","""hcs_size=ARR_COMMON.I.HCS_SIZE,fds_size=ARR_COMMON.I.FDS_SIZE,WA=disable""",,,,,,,,,,,,,,,,,,,,,,,
LSA_CORE_FUSECONFIG_E_BEGIN_TITO_VCCIA_NOM_LFM_REPAIR,PrimePatConfigTestMethod,,,1,"""./Modules/ARR_CORE/InputFiles/PatConfig_MbistRepair.setpoints.json""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""DF_io_from_BISR_SharedStorage""",,,,,,,,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_POSTHRY_CORE0,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_POSTHRY_CORE1,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_POSTHRY_CORE2,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_POSTHRY_CORE3,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_1_POSTHRY_CORE0,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_1_POSTHRY_CORE1,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_1_POSTHRY_CORE2,PrimeMbistVminSearchTestMethod,"""Off""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""PostRepair""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
